NeuronType,MFs,Accuracy Mean,Accuracy Std,Fscore Mean,Fscore Std,Recall Mean,Recall Std,Precision Mean,Precision Std
andneuron,2,0.529,0.000,0.364,0.000,0.311,0.000,0.438,0.000
andneuron,3,0.601,0.102,0.569,0.076,0.600,0.031,0.543,0.112
andneuron,4,0.443,0.013,0.442,0.025,0.512,0.063,0.390,0.001
andneuron,5,0.538,0.040,0.542,0.040,0.633,0.047,0.475,0.035
andneuron,6,0.553,0.075,0.539,0.100,0.611,0.141,0.484,0.070
orneuron,2,0.721,0.000,0.667,0.000,0.644,0.000,0.690,0.000
orneuron,3,0.673,0.000,0.622,0.000,0.622,0.000,0.622,0.000
orneuron,4,0.712,0.000,0.659,0.000,0.644,0.000,0.674,0.000
orneuron,5,0.673,0.000,0.595,0.000,0.556,0.000,0.641,0.000
orneuron,6,0.721,0.000,0.677,0.005,0.678,0.016,0.678,0.006
